Thời Gian,ID Xe,Loại Phương Tiện,Tốc Độ (km/h),Biển Số,Trạng Thái
2026-06-13 13:53:46,128,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:53:47,65,Ô tô,36,Không rõ,Bình Thường
2026-06-13 13:53:49,133,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:53:51,138,Xe buýt,0,Không rõ,Bình Thường
2026-06-13 13:53:52,129,Xe buýt,0,Không rõ,Bình Thường
2026-06-13 13:53:52,131,Xe buýt,0,Không rõ,Bình Thường
2026-06-13 13:53:53,117,Ô tô,47,Không rõ,Ngược Chiều
2026-06-13 13:53:57,145,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:53:58,141,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:53:58,38,Ô tô,46,Không rõ,Bình Thường
2026-06-13 13:54:00,74,Ô tô,38,Không rõ,Bình Thường
2026-06-13 13:54:00,78,Ô tô,33,Không rõ,Bình Thường
2026-06-13 13:54:00,148,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:54:01,152,Xe máy,0,Không rõ,Bình Thường
2026-06-13 13:54:02,151,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:54:03,130,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:54:03,147,Xe máy,0,Không rõ,Bình Thường
2026-06-13 13:54:03,150,Xe buýt,0,Không rõ,Bình Thường
2026-06-13 13:54:04,155,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:54:04,156,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:54:06,134,Ô tô,47,Không rõ,Ngược Chiều
2026-06-13 13:54:06,157,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:54:07,154,Xe tải,0,Không rõ,Bình Thường
2026-06-13 13:54:07,84,Ô tô,38,Không rõ,Bình Thường
2026-06-13 13:54:08,160,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:54:08,161,Xe tải,0,Không rõ,Bình Thường
2026-06-13 13:54:10,162,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:54:11,163,Xe tải,0,Không rõ,Bình Thường
2026-06-13 13:54:13,47,Xe tải,33,Không rõ,Bình Thường
2026-06-13 13:54:14,64,Ô tô,44,Không rõ,Bình Thường
2026-06-13 13:54:14,75,Ô tô,37,Không rõ,Bình Thường
2026-06-13 13:54:14,90,Ô tô,33,Không rõ,Bình Thường
2026-06-13 13:54:14,101,Ô tô,42,Không rõ,Bình Thường
2026-06-13 13:54:14,113,Ô tô,34,Không rõ,Bình Thường
2026-06-13 13:54:14,116,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:54:15,119,Ô tô,39,Không rõ,Bình Thường
2026-06-13 13:54:15,121,Ô tô,22,Không rõ,Bình Thường
2026-06-13 13:54:15,126,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:54:15,127,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:54:15,132,Xe buýt,4,Không rõ,Bình Thường
2026-06-13 13:54:16,135,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:54:16,153,Ô tô,35,Không rõ,Bình Thường
2026-06-13 13:54:16,158,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:54:16,159,Ô tô,30,Không rõ,Bình Thường
2026-06-13 13:54:16,164,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:54:17,165,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:56:05,180,Xe tải,0,Không rõ,Bình Thường
2026-06-13 13:56:05,183,Xe máy,0,Không rõ,Bình Thường
